Date,Open,High,Low,Close,Volume,Range,%K(Fast)(14),"%D(Fast)(14,3)","VWMA(C,20)",%K(Fast)(9),"%D(Fast)(9,3)",%K(Fast)(40),"%D(Fast)(40,4)","%K(Full)(60,10)","%D(Full)(60,10,10)",ATR(14)
31/12/2024 07:10:00,5957.25,5963,5956.75,5960.25,3606,6.25,14.9,13.5,5968.06,14.9,12,14.9,16.8,33.2,48.7,5.071
31/12/2024 07:11:00,5960,5961.5,5955.25,5956.25,3140,6.25,4,8.8,5967.55,4.3,8.1,4,11.7,27.9,44.9,5.143
31/12/2024 07:12:00,5956,5959.5,5954.75,5959,3065,4.75,16.7,12.7,5967.2,20.2,14.2,16.7,13.7,25.9,41.4,5.232
31/12/2024 07:13:00,5959,5964.25,5959,5962.25,3183,5.25,29.4,21.1,5967.08,38.5,26.3,29.4,20,26.5,38.7,5.393
31/12/2024 07:14:00,5962,5966.5,5960.25,5964.75,2883,6.25,39.2,30.1,5967.01,55.6,40.9,39.2,27.7,28.8,36.9,5.554
31/12/2024 07:15:00,5964.5,5966.25,5962,5963.75,2973,4.25,35.3,32.7,5966.81,66.7,53.8,35.3,30.7,30,35.7,5.554
31/12/2024 07:16:00,5963.5,5969,5961.75,5967.25,3153,7.25,52.1,42.4,5966.79,87.7,70.8,49,38,33.5,35.3,5.732
31/12/2024 07:17:00,5967,5967.75,5964.5,5966.25,2436,3.25,54.8,48.6,5966.54,80.7,75.7,45.1,40.9,35.6,35.3,5.571
31/12/2024 07:18:00,5966,5972.25,5966,5971.75,3604,6.25,87.2,67.9,5966.63,97.1,86.4,66.7,51.2,41.2,36.4,5.625
31/12/2024 07:19:00,5971.75,5973.5,5971,5973.5,2128,2.5,100,83.9,5966.57,100,93.2,73.5,60.1,47.1,38.3,5.536
31/12/2024 07:20:00,5973.25,5973.5,5970.75,5971.5,1925,2.75,89.3,86.6,5966.33,89.3,91.3,65.7,62.3,50.5,40.6,5.321
31/12/2024 07:21:00,5971.25,5973.75,5970.5,5971.25,1978,3.25,86.8,86.7,5966.03,83.1,87.2,64.7,63.3,53.1,42.8,4.875
31/12/2024 07:22:00,5971.25,5975.75,5971.25,5974,2850,4.5,91.7,89.2,5965.66,88.7,87.9,75.5,68.2,57.1,45.4,4.839
31/12/2024 07:23:00,5974,5976,5972.75,5975.75,2033,3.25,98.8,94,5965.52,98.2,93.1,82.4,73.8,61.7,48.4,4.714
31/12/2024 07:24:00,5975.5,5975.5,5974,5975.5,1598,1.5,97.6,95.8,5965.39,96.5,94.8,81.4,76.9,65.3,51.5,4.393
31/12/2024 07:25:00,5975.25,5976,5973,5976,2330,3,100,97.9,5965.49,100,97.4,83.3,79.4,68.6,54.6,4.161
31/12/2024 07:26:00,5976,5977.25,5975,5976.5,1841,2.25,95.9,96.9,5965.68,93.3,95.4,85.3,81.8,71.6,57.7,3.982
31/12/2024 07:27:00,5976.5,5979,5975.75,5978.25,2413,3.25,96,96.5,5966.69,91.2,93.3,92.2,85.9,75.4,60.9,3.839
31/12/2024 07:28:00,5978,5979.25,5965.75,5972,10200,13.5,58.6,77.5,5968.07,46.3,69.8,67.6,78.6,74,63.3,4.357
31/12/2024 07:29:00,5972,5973,5967.75,5969.5,3545,5.25,44.3,60.9,5968.81,27.8,48.8,57.8,70.3,71,64.7,4.429
31/12/2024 07:30:00,5969.25,5970,5967,5970,3495,3,37.3,49.1,5969.38,31.5,40.1,59.8,66.1,69,65.5,4.125
31/12/2024 07:31:00,5970.25,5972.25,5968.25,5972.25,2476,4,48.1,48.6,5970.19,48.1,44.1,68.6,67.1,68.9,66.1,4.179
31/12/2024 07:32:00,5972.25,5974.5,5969.75,5970,2667,4.75,31.5,40.1,5970.75,31.5,37.8,59.8,64.2,67.3,66.3,4.071
31/12/2024 07:33:00,5970.25,5971,5962,5962.25,3715,9,1.4,20.8,5970.68,1.4,19.6,29.4,50.3,60.4,65.2,4.536
31/12/2024 07:34:00,5962.25,5963,5959.25,5961,3966,3.75,8.8,14.8,5970.33,8.8,14.2,24.5,40,53.9,63.2,4.607
31/12/2024 07:35:00,5961,5964,5959.5,5963,3090,4.5,18.8,16.8,5970.28,18.8,16.5,32.4,36.9,49.9,60.8,4.696
31/12/2024 07:36:00,5963,5966.75,5962.5,5966.25,3254,4.25,35,25.9,5970.22,35,25.7,45.1,40.2,49.1,58.6,4.679
31/12/2024 07:37:00,5966.25,5966.25,5960,5964.5,2660,6.25,26.3,26.1,5970.13,34.4,30.1,38.2,39.4,47.1,56.5,4.893
31/12/2024 07:38:00,5964.75,5968.25,5963.75,5968.25,2355,4.5,45,35.5,5969.96,59,44.5,52.9,44.8,48.2,55,5.089
31/12/2024 07:39:00,5968.25,5970,5967.5,5969.75,2777,2.5,52.5,44,5969.83,68.9,56.7,58.8,50.4,50.1,54.1,5.054
31/12/2024 07:40:00,5969.75,5970.5,5962.75,5965.5,3228,7.75,31.3,37.6,5969.56,41,48.8,42.2,47.1,48.7,53.1,5.446
31/12/2024 07:41:00,5965.75,5965.75,5961.25,5962.75,2355,4.5,17.5,27.6,5969.25,29.8,39.3,31.4,40.8,45.5,51.7,5.536
31/12/2024 07:42:00,5962.75,5965,5961.5,5963.75,1737,3.5,29.5,28.5,5968.87,40,39.7,36.7,39.2,43.7,50.3,4.821
31/12/2024 07:43:00,5963.75,5964,5960.75,5964,1646,3.25,31.1,29.8,5968.51,40.9,40.3,37.8,38.6,42.3,48.8,4.679
31/12/2024 07:44:00,5964,5964.25,5960.75,5961.75,1806,3.5,16.4,23.1,5968.14,16.7,28.5,28.6,34.6,39.6,47.1,4.714
31/12/2024 07:45:00,5962,5963.5,5961,5962.25,1945,2.5,19.7,21.4,5967.65,21.4,25,30.6,33,37.8,45.4,4.607
31/12/2024 07:46:00,5962.25,5962.75,5959,5962.25,3079,3.75,27.1,24.2,5967.12,28.3,26.6,30.6,32,36.2,43.8,4.536
31/12/2024 07:47:00,5962,5963,5959.75,5962.5,2150,3.25,30.4,27.3,5966.53,30.4,28.5,31.6,31.9,35.2,42.2,4.125
31/12/2024 07:48:00,5962.5,5965,5962.25,5964.25,2211,2.75,45.7,36.5,5965.4,45.7,37.1,38.8,34.6,35.6,41,4.054
31/12/2024 07:49:00,5964.5,5965.75,5958.75,5959.75,2716,7,8.5,22.5,5964.84,14.3,25.7,20.4,28.9,32.7,39.5,4.232
31/12/2024 07:50:00,5960,5963,5959.25,5961.75,2067,3.75,25.5,24,5964.37,42.9,34.3,28.6,28.8,31.7,38.1,4.196
31/12/2024 07:51:00,5962,5967.5,5961.5,5966.5,2544,6,66,45,5964.1,88.6,61.4,48,36.5,34.3,37.4,4.179
31/12/2024 07:52:00,5966.75,5967.25,5964.25,5967,1798,3,70.2,57.6,5963.9,94.3,77.9,40.2,38,36.8,37.3,4.071
31/12/2024 07:53:00,5967,5967.75,5963.25,5963.5,2046,4.5,40.4,49,5964,52.8,65.3,23.2,32.1,36.4,37.1,4.214
31/12/2024 07:54:00,5963.75,5966.75,5963,5965.75,1344,3.75,77.8,63.4,5964.31,77.8,71.5,34.1,32.9,37.6,37.2,3.929
31/12/2024 07:55:00,5965.75,5966.25,5963.75,5965.75,1735,2.5,77.8,70.6,5964.45,77.8,74.7,34.1,33.4,38.6,37.5,3.786
31/12/2024 07:56:00,5966,5966,5963.5,5964.25,1405,2.5,61.1,65.8,5964.31,61.1,67.9,26.8,30.8,38.4,37.6,3.714
31/12/2024 07:57:00,5964.25,5964.5,5962.75,5963.75,1405,1.75,55.6,60.7,5964.28,55.6,61.7,24.4,28.2,37.8,37.7,3.607
31/12/2024 07:58:00,5964,5964,5960.5,5961.25,1371,3.5,27.8,44.2,5963.95,23.5,42.6,12.2,21.8,35.6,37.3,3.607
31/12/2024 07:59:00,5961.5,5961.75,5959.75,5960,1749,2,13.9,29.1,5963.38,3.1,22.9,6.1,15.5,32.8,36.5,3.571
31/12/2024 08:00:00,5960,5961.25,5958.5,5959.25,2182,2.75,8.1,18.6,5962.98,8.1,15.5,3.6,10.8,30.1,35.3,3.5
31/12/2024 08:01:00,5959,5959.5,5957.75,5958.25,2389,1.75,5,11.8,5962.71,5,10.2,2.3,7.4,27.1,33.8,3.393
31/12/2024 08:02:00,5958.25,5958.75,5956.75,5957,2941,2,2.3,7,5962.25,2.5,6.4,1.1,4.9,23.8,32,3.339
31/12/2024 08:03:00,5957.25,5959,5951.5,5951.75,3495,7.5,1.5,4.3,5961.31,1.7,4,0.9,3.3,19.7,29.8,3.375
31/12/2024 08:04:00,5952,5952.5,5946.75,5950,6728,5.75,15.5,9.9,5959.69,16.9,10.5,10,6,17.9,27.6,3.518
31/12/2024 08:05:00,5949.75,5950,5946.75,5948.5,3323,3.25,8.3,9.1,5958.82,9.9,10.2,5.4,5.7,15.6,25.4,3.321
31/12/2024 08:06:00,5948.25,5952.75,5948,5948.75,2852,4.75,9.5,9.3,5958.01,11.6,10.9,6.2,5.9,13.9,23.3,3.446
31/12/2024 08:07:00,5948.5,5950.75,5946.75,5950.75,2615,4,20,14.7,5957.42,26.7,18.8,12.3,8.5,13.6,21.6,3.411
31/12/2024 08:08:00,5950.75,5951.5,5947.75,5948,2181,3.75,6.4,10.5,5956.7,8.6,13.7,4.5,6.9,11.8,19.8,3.411
31/12/2024 08:09:00,5948,5952.75,5948,5952.25,2518,4.75,28.6,19.6,5956.3,43.1,28.4,19.8,12.1,12.8,18.5,3.571
